年份,项目编号,基地名称(申办单位),基地负责人,联系电话,项目名称,项目负责人,联系电话,举办期限起止日期,举办地点,授予学员学分,教学对象,拟招生人数,备注
2016,J1-16-02 (国),北京大学口腔医学院口腔颌面外科,俞光岩,010-62179977-5295,口腔门诊消毒灭菌人员消毒灭菌知识与实践技能培训,张伟,82195912,"2016-04-07-2016-04-09
		3.0天/期
		
		
查看多期举办时间地点",北京,6分/期,相关专业的继续教育对象,40/期,
2016,J13-16-15 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,全国肿瘤预防与控制实践培训,乔友林,87788489,"2016-06-11-2016-06-15
		5.0天/期
		
		
查看多期举办时间地点",北京,10分/期,相关专业的继续教育对象,300/期,
2016,J13-16-28 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,肿瘤登记技术与方法培训班,陈万青,87787039,"2016-04-26-2016-04-28
		3.0天",北京,6分,相关专业的继续教育对象,150,
2016,J13-16-29 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,肿瘤登记推广会（年会）,陈万青,87787039,"2016-11-15-2016-11-17
		3.0天",北京,6分,相关专业的继续教育对象,150,
2016,J13-16-30 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,淮河流域早诊早治技术培训,陈万青,87787039,"2016-07-23-2016-07-25
		3.0天",北京,6分,相关专业的继续教育对象,150,
2016,J51-16-01 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,华支睾吸虫病监测技术培训班,陈颖丹,021-64739075,"2016-07-05-2016-07-06
		2.0天",辽宁沈阳市,4分,相关专业的继续教育对象,62,
2016,J51-16-02 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,重要食源性寄生虫病血清学检测技术培训,陈颖丹,021-64739075,"2016-05-24-2016-05-25
		2.0天",山东烟台市,4分,相关专业的继续教育对象,63,
2016,J51-16-03 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-58900301,美沙酮门诊专业人员培训,曹晓斌,010-58900950,"2016-07-18-2016-07-27
		10.0天/期
		
		
查看多期举办时间地点",云南昆明市,10分/期,相关专业的继续教育对象,50/期,
2016,J51-16-04 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-58900301,美沙酮门诊干预技能及管理培训,曹晓斌,010-58900950,"2016-04-20-2016-04-22
		3.0天/期
		
		
查看多期举办时间地点",上海,6分/期,相关专业的继续教育对象,50/期,
2016,J51-16-05 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,2016年全国狂犬病实验室监测与检测技术培训班,朱武洋,010-58900844,"2016-08-22-2016-08-26
		5.0天",吉林延吉市,10分,相关专业的继续教育对象,45,
2016,J51-16-06 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,人禽流感监测技术培训班,舒跃龙,010-58900850,"2016-05-22-2016-05-28
		7.0天/期
		
		
查看多期举办时间地点",北京,10分/期,相关专业的继续教育对象,20/期,
2016,J51-16-07 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,流感与禽流感监测资料分析利用能力培训,舒跃龙,010-58900850,"2016-10-10-2016-10-11
		2.0天",山东济南市,4分,相关专业的继续教育对象,200,
2016,J51-16-08 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国艾滋病病毒感染者和病人综合管理工作培训班,毛宇嵘,010-58900985,"2016-04-21-2016-04-22
		2.0天",北京,4分,相关专业的继续教育对象,70,
2016,J51-16-10 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,流行病学应用与实践系列培训,么鸿雁,010-58900523,"2016-04-26-2016-04-29
		4.0天",浙江杭州市,8分,相关专业的继续教育对象,40,
2016,J51-16-11 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国流脑、百日咳等疫苗可预防细菌性疾病防控和实验室检测培训班,李艺星,010-83159521,"2016-08-25-2016-08-26
		2.0天",湖北武汉市,4分,相关专业的继续教育对象,60,
2016,J51-16-12 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,以实验室为基础的细菌性疫苗可预防疾病监测体系建设培训班,李艺星,010-83159521,"2016-04-05-2016-04-06
		2.0天",北京,4分,相关专业的继续教育对象,60,
2016,J51-16-13 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,急性脑炎脑膜炎监测和专项调查总结会议,李艺星,010-83159521,"2016-07-26-2016-07-27
		2.0天",湖北宜昌市,4分,相关专业的继续教育对象,60,
2016,J51-16-14 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国乙脑监测和实验室检测工作培训班,李艺星,010-83159521,"2016-06-26-2016-06-27
		2.0天",福建厦门市,4分,相关专业的继续教育对象,60,
2016,J51-16-16 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,第六届媒介生物可持续控制国际论坛,刘起勇,67779152,"2016-11-09-2016-11-12
		4.0天",重庆,8分,相关专业的继续教育对象,150,
2016,J51-16-17 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国病媒生物控制技术培训班,刘起勇,010-58900738,"2016-04-11-2016-04-15
		5.0天/期
		
		
查看多期举办时间地点",北京,10分/期,相关专业的继续教育对象,60/期,
2016,J51-16-18 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国病媒生物监测技术培训班,刘起勇,010-58900738,"2016-06-13-2016-06-17
		5.0天/期
		
		
查看多期举办时间地点",北京,10分/期,相关专业的继续教育对象,60/期,
2017,J13-17-12 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,肿瘤登记技术与方法培训班,陈万青,87787309,"2017-04-26-2017-04-28
		3.0天",北京,6分,相关专业的继续教育对象,150,
2017,J13-17-13 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,淮河流域早诊早治技术培训,陈万青,87787039,"2017-07-23-2017-07-25
		3.0天",北京,6分,相关专业的继续教育对象,150,
2017,J13-17-24 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,全国肿瘤预防与控制实践培训,乔友林,87788489,"2017-07-22-2017-07-26
		5.0天/期
		
		
查看多期举办时间地点",四川成都市,10分/期,相关专业的继续教育对象,400/期,
2017,J13-17-25 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,全国子宫颈癌协作组工作会议,乔友林,87788489,"2017-04-22-2017-04-23
		2.0天",北京,4分,相关专业的继续教育对象,200,
2017,J13-17-26 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,中国-东南亚地区肿瘤预防 与控制人才高级培训班（英文）,赵方辉,87788900,"2017-09-15-2017-09-19
		5.0天",四川成都市,10分,相关专业的继续教育对象,50,
2017,J14-17-22 (国),中国医学科学院阜外医院心内科,杨跃进,010-88398080,医疗器械临床试验数据管理高级研讨班,李卫,010-60866513,"2017-07-20-2017-07-21
		2.0天",北京,4分,相关专业的继续教育对象,100,
2017,J14-17-30 (国),中国医学科学院阜外医院心内科,杨跃进,010-88398080,医疗器械临床试验统计学高级研讨班,李卫,010-60866513,"2017-04-12-2017-04-13
		2.0天",吉林通化市,4分,相关专业的继续教育对象,100,
2017,J51-17-01 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国重点寄生虫病监测数据分析利用培训班,陈颖丹,2164739075,"2017-05-23-2017-05-24
		2.0天",辽宁沈阳市,4分,相关专业的继续教育对象,62,
2017,J51-17-02 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国血吸虫病诊断网络平台运行管理培训会议,许静,021-54650863,"2017-08-20-2017-08-22
		3.0天",湖南岳阳市,6分,相关专业的继续教育对象,60,
2017,J51-17-03 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-58900301,美沙酮门诊干预技能及管理培训,曹晓斌,010-58900950,"2017-04-17-2017-04-19
		3.0天/期
		
		
查看多期举办时间地点",宁夏银川市,6分/期,相关专业的继续教育对象,50/期,
2017,J51-17-04 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-58900301,美沙酮维持治疗门诊专业人员培训,曹晓斌,010-58900950,"2017-07-10-2017-07-19
		10.0天/期
		
		
查看多期举办时间地点",云南昆明市,10分/期,相关专业的继续教育对象,90/期,
2017,J51-17-05 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,寄生虫病和热带病临床病例分析培训班,陈家旭,13818574462,"2017-05-25-2017-05-28
		4.0天",江苏镇江市,8分,相关专业的继续教育对象,40,
2017,J51-17-06 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国病媒生物监测控制技术培训班,刘起勇,010-58900741,"2017-04-17-2017-04-21
		5.0天",北京,10分,相关专业的继续教育对象,120,
2017,J51-17-09 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,流行病学应用与实践系列培训,么鸿雁,010-58900522,"2017-05-09-2017-05-12
		4.0天",浙江杭州市,8分,相关专业的继续教育对象,45,
2017,J51-17-10 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,第六届全国重要病媒生物抗药性监测与控制技术培训,刘起勇,010-58900738,"2017-04-12-2017-04-16
		5.0天/期
		
		
查看多期举办时间地点",北京,10分/期,相关专业的继续教育对象,35/期,
2017,J51-17-11 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,英文科技论文写作培训班,周晓农,021-64738058,"2017-06-29-2017-06-30
		2.0天",上海,4分,相关专业的继续教育对象,40,
2017,J52-17-23 (国),天津医科大学附属肿瘤医院（肿瘤学）,郝希山,022-23537796,全国肿瘤目标营养疗法CNT培训会,王昆,022-23537796,"2017-09-09-2017-09-10
		2.0天",天津,4分,相关专业的继续教育对象,200,
2018,J13-18-21 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,城市高危人群癌症筛查和早诊早治技术全国培训班,代敏,010-87787394,"2018-11-02-2018-11-03
		2.0天",北京,4分,城市癌症早诊早治项目中18个省份的现场工作人员,150,
2018,J13-18-22 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,中国城市居民肿瘤防治健康素养研讨会,石菊芳,010-87787396,"2018-06-01-2018-06-01
		1.0天",北京,2分,国家重大公卫服务项目城市癌症早诊早治项目覆盖的18个省份现场骨干,60,
2018,J13-18-23 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,国际肿瘤防控学术研讨会,代敏,010-87787394,"2018-10-21-2018-10-22
		2.0天",北京,4分,各级医院、疾控中心从事肿瘤防控的医生/科研人员,600,
2018,J13-18-31 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,第二届全国防癌新技术及进展学习班,张凯,87787327,"2018-04-28-2018-04-29
		2.0天",北京,4分,各级体检机构及相关的继续教育对象,700,
2018,J13-18-32 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,肿瘤登记技术与方法培训班,陈万青,87787039,"2018-04-20-2018-04-22
		3.0天",北京,6分,各省肿瘤登记处负责人及工作人员,150,
2018,J13-18-33 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,淮河流域早诊早治技术培训,陈万青,87787039,"2018-08-23-2018-08-25
		3.0天",北京,6分,早诊早治项目点专业人员,150,
2018,J13-18-37 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,子宫颈癌预防与控制新进展,乔友林,87788489,"2018-04-01-2018-04-02
		2.0天/期
		
		
查看多期举办时间地点",北京,4分/期,从事宫颈癌防治的 医务工作者,200/期,
2018,J13-18-38 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,全国肿瘤预防与控制实践培训班,乔友林,87788489,"2018-07-22-2018-07-24
		2.5天/期
		
		
查看多期举办时间地点",四川成都市,5分/期,从事肿瘤防治医务工作者,200/期,
2018,J13-18-39 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,“一带一路国家”肿瘤预防 与控制人才高级培训班（英文）,赵方辉,010-87788977,"2018-09-15-2018-09-19
		5.0天/期
		
		
查看多期举办时间地点",北京,10分/期,中国和其他“一带一路”国家的临床医生、科研、公共卫生和其他卫生专业人员,50/期,
2018,J13-18-73 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,宫颈癌一级预防培训班,赵方辉,010-87788977,"2018-06-25-2018-06-25
		1.0天/期
		
		
查看多期举办时间地点",北京,2分/期,从事肿瘤防治和疫苗接种的医务工作者,200/期,
2018,J51-18-03 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,戒毒药物维持治疗门诊综合干预及管理技能培训,曹晓斌,010-58900950,"2018-05-16-2018-05-18
		3.0天/期
		
		
查看多期举办时间地点",甘肃兰州市,6分/期,相关专业的继续教育对象,50/期,
2018,J51-18-04 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,戒毒药物维持治疗门诊专业技能培训,曹晓斌,010-58900950,"2018-05-14-2018-05-23
		10.0天/期
		
		
查看多期举办时间地点",云南昆明市,10分/期,相关专业的继续教育对象,60/期,
2018,J51-18-05 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,诺如病毒暴发监测检测技术培训班,段招军,1058900898,"2018-09-18-2018-09-20
		3.0天",北京,6分,相关专业的继续教育对象,120,
2018,J51-18-07 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,2018年全国狂犬病实验室监测与检测技术培训班,朱武洋,010-58900896,"2018-07-25-2018-07-29
		5.0天",北京,10分,相关专业的继续教育对象,40,
2018,J51-18-08 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国肝吸虫病和土源性线虫病监测技术研讨班,陈颖丹,2164739075,"2018-05-29-2018-05-30
		2.0天",湖北武汉市,4分,相关专业的继续教育对象,62,
2018,J51-18-09 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,登革热媒介伊蚊应急监测与控制技术培训,刘起勇,010-58900738,"2018-04-09-2018-04-13
		5.0天",云南,10分,相关专业的继续教育对象,120,
2018,J51-18-10 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国病媒生物监测与控制技术培训——鼠类分类鉴定技术培训班,刘起勇,010-58900741,"2018-04-01-2018-04-05
		5.0天",山东烟台市,10分,相关专业的继续教育对象,180,
2018,J51-18-13 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,英文医学科技论文写作精品培训班,周晓农,021-64738058,"2018-06-22-2018-06-24
		2.5天",上海,5分,相关专业的继续教育对象,20,
2018,J51-18-14 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国血吸虫病诊断网络平台运行管理培训班,许静,021-54650863,"2018-08-17-2018-08-19
		3.0天",湖南岳阳市,6分,相关专业的继续教育对象,65,
2018,J51-18-15 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,流行病学应用与实践系列培训,么鸿雁,010-58900523,"2018-05-15-2018-05-18
		4.0天",广东深圳市,8分,相关专业的继续教育对象,45,
2018,J51-18-17 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,新发病毒的血清与T细胞免疫检测/监测技术培训班,刘军,010-58900862,"2018-08-22-2018-08-24
		3.0天",北京,6分,相关专业的继续教育对象,80,
2018,J51-18-18 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,非洲重要出血热病毒检测/监测与研究培训班,刘军,010-58900862,"2018-07-11-2018-07-13
		3.0天",广东深圳市,6分,相关专业的继续教育对象,120,
2018,J51-18-19 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国乙脑和流脑、百日咳等疫苗可预防细菌性疾病监测培训班,李艺星,83159521,"2018-05-16-2018-05-17
		2.0天",内蒙古呼和浩特市,4分,相关专业的继续教育对象,70,
2019,J13-19-06 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,全国肿瘤预防与控制实践培训班,乔友林,010-87788489,"2019-07-19-2019-07-21
		2.5天/期
		
		
查看多期举办时间地点",新疆乌鲁木齐市,5分/期,相关专业的继续教育对象,200/期,
2019,J13-19-13 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,子宫颈癌预防与控制新进展,乔友林,010-87788489,"2019-04-27-2019-04-28
		2.0天",北京,4分,从事宫颈癌防治的医务工作者,200,
2019,J13-19-14 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,宫颈癌一级预防培训班,赵方辉,010-87788977,"2019-05-15-2019-05-15
		1.0天/期
		
		
查看多期举办时间地点",北京,2分/期,从事肿瘤防治和疫苗接种的医务工作者,200/期,
2019,J13-19-37 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,城市高危人群癌症筛查和早诊早治技术全国培训班,陈万青,010-87787039,"2019-11-02-2019-11-03
		2.0天",北京,4分,相关专业的继续教育对象,150,
2019,J13-19-38 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,淮河流域癌症筛查和早诊早治技术培训班,陈万青,010-87787039,"2019-08-23-2019-08-25
		3.0天",江苏,6分,相关专业的继续教育对象,150,
2019,J13-19-43 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,肿瘤登记技术与方法培训班,魏文强,010-87788661,"2019-05-21-2019-05-22
		2.0天",北京,4分,相关专业的继续教育对象,120,
2019,J13-19-44 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,2019年恶性肿瘤监测与流行病学研究国际高级研讨会,魏文强,010-87788661,"2019-08-26-2019-08-30
		5.0天",北京,10分,相关专业的继续教育对象,60,
2019,J51-19-01 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,戒毒药物维持治疗门诊专业技能培训,罗巍,010-58900950,"2019-05-13-2019-05-22
		10.0天/期
		
		
查看多期举办时间地点",云南昆明市,10分/期,相关专业的继续教育对象,60/期,
2019,J51-19-02 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,戒毒药物维持治疗门诊综合干预及管理技能培训,罗巍,010-58900950,"2019-05-08-2019-05-10
		3.0天/期
		
		
查看多期举办时间地点",重庆,6分/期,相关专业的继续教育对象,50/期,
2019,J51-19-03 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,国家疟疾镜检能力评估研修班,周水森,13917143679,"2019-05-20-2019-05-24
		5.0天",上海,10分,从事疟疾镜检工作1年级以上人员,12,
2019,J51-19-05 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,诺如病毒暴发监测检测技术培训班,段招军,010-58900898,"2019-09-17-2019-09-19
		3.0天",北京,6分,相关专业的继续教育对象,120,
2019,J51-19-06 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,空间流行病学分析方法与应用,李石柱,021-54241570,"2019-05-06-2019-05-08
		3.0天",陕西西安市,6分,相关专业的继续教育对象,40,
2019,J51-19-07 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国血吸虫病诊断网络平台运行管理与检测技术培训班,许静,021-54650863,"2019-10-25-2019-10-27
		3.0天",安徽安庆市,6分,相关专业的继续教育对象,65,
2019,J51-19-09 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,第七届全国重要病媒生物抗药性监测与控制技术培训,刘起勇,010-58900738,"2019-05-24-2019-05-28
		5.0天",北京,10分,媒介监测与控制专业技术人员,120,
2019,J51-19-10 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,英文论文写作培训班,周晓农,021-64738058,"2019-07-10-2019-07-12
		2.5天",上海,5分,相关专业的继续教育对象,30,
2019,J51-19-11 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国土源性线虫病和肝吸虫病监测体系研讨班,陈颖丹,021-64739075,"2019-06-12-2019-06-13
		2.0天",湖北武汉市,4分,相关专业的继续教育对象,70,
2019,J51-19-12 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,流行病学应用与实践系列培训,么鸿雁,010-58900523,"2019-06-03-2019-06-06
		4.0天",四川成都市,8分,相关专业的继续教育对象,45,
2019,J51-19-15 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,发热伴出疹症候群检测监测技术培训班,崔爱利,010-58900188,"2019-09-25-2019-09-27
		3.0天",北京,6分,相关专业的继续教育对象,60,
2019,J51-19-16 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国包虫病监测技术培训班,伍卫平,13818689979,"2019-04-29-2019-04-30
		2.0天",四川成都市,4分,相关专业的继续教育对象,40,
2019,J51-19-17 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国包虫病防治技术培训班,伍卫平,13818689979,"2019-07-29-2019-07-30
		2.0天",陕西西安市,4分,相关专业的继续教育对象,40,
2019,J51-19-18 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,新发与再发病毒的抗体与T细胞免疫检测/监测技术培训班,刘军,010-58900862,"2019-09-18-2019-09-20
		3.0天",北京,6分,相关专业的继续教育对象,80,
2020,J13-20-25 (国),中国医学科学院肿瘤医院,高树庚,010-87788177,子宫颈癌预防与控制新进展,赵方辉,010-87788977,"2020-04-25-2020-04-26
		2.0天",北京,4分,从事宫颈癌防治的 医务工作者,200,
2020,J13-20-45 (国),中国医学科学院肿瘤医院,高树庚,010-87788177,第六届肿瘤专科医院病案信息管理新进展学习班,樊美娜,13681273155,"2020-08-15-2020-08-18
		4.0天",广东深圳市,8分,病案、统计、信息、医务科、医院管理等,100,
2020,J13-20-49 (国),中国医学科学院肿瘤医院,高树庚,010-87788177,癌症筛查与早诊早治技术推广培训班,陈万青,010-877877039,"2020-06-18-2020-06-19
		2.0天",河南郑州市,4分,城市癌症早诊早治项目和淮河流域癌症早诊早治项目中26个省份的现场工作人员,150,
2020,J35-20-13 (国),重庆医科大学附属儿童医院,李秋,023-63603929,临床研究设计与统计分析方法深度学习培训班,梁小华,17815183289,"2020-04-22-2020-04-25
		4.0天",重庆,8分,相关专业的继续教育对象,180,
2020,J51-20-01 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国肝吸虫病和土源性线虫病监测体系研讨班,陈颖丹,021-64739075,"2020-08-02-2020-08-03
		2.0天",辽宁沈阳市,4分,相关专业的继续教育对象,70,
2020,J51-20-03 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国诺如病毒暴发监测检测技术培训班,段招军,010-58900898,"2020-06-16-2020-06-18
		3.0天",湖南长沙市,6分,相关专业的继续教育对象,120,
2020,J51-20-04 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国血吸虫病诊断网络平台运行管理暨检测技术培训班,许静,021-54650863,"2020-08-20-2020-08-22
		2.5天",湖南岳阳市,5分,相关专业的继续教育对象,60,
2020,J51-20-09 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,戒毒药物维持治疗门诊专业技能培训,曹晓斌,010-58900950,"2020-06-08-2020-06-17
		10.0天/期
		
		
查看多期举办时间地点",云南昆明市,10分/期,相关专业的继续教育对象,60/期,
2020,J51-20-10 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,戒毒药物维持治疗门诊综合干预及管理技能培训,曹晓斌,010-58900950,"2020-07-21-2020-07-23
		3.0天/期
		
		
查看多期举办时间地点",宁夏银川市,6分/期,相关专业的继续教育对象,50/期,
2020,J51-20-11 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,空间流行病学分析方法与应用,李石柱,021-54241570,"2020-09-12-2020-09-14
		3.0天",湖北武汉市,6分,相关专业的继续教育对象,55,
2020,J51-20-12 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,英文医学论文写作,周晓农,021-64738058,"2020-06-15-2020-06-17
		2.5天",上海,5分,相关专业的继续教育对象,30,
2020,J51-20-14 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,全国病毒性出血热理论与实验室技术 培训班,李建东,010-58900824,"2020-10-19-2020-10-20
		2.0天",北京,4分,相关专业的继续教育对象,62,
2020,J51-20-15 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,医防结合病原菌鉴定和分型技术培训班,周海健,010-58900784,"2020-09-21-2020-09-25
		5.0天",北京,10分,相关专业的继续教育对象,50,
2020,J51-20-17 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,病原菌药物敏感性检测质量控制与管理培训班,李娟,010-58900766,"2020-05-11-2020-05-15
		5.0天",山东济南市,10分,相关专业的继续教育对象,50,
2020,J51-20-18 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,流感与禽流感监测资料分析利用能力培训,王大燕,010-58900850,"2020-10-13-2020-10-14
		2.0天",陕西西安市,4分,相关专业的继续教育对象,200,
2020,J51-20-19 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,高通量测序技术在病原菌检测和监测领域应用新技术培训班,张雯,010-61739446,"2020-10-10-2020-10-12
		3.0天",北京,6分,相关专业的继续教育对象,50,
2020,J51-20-20 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,流行病学应用与实践系列培训,么鸿雁,010-58900523,"2020-07-14-2020-07-17
		4.0天",海南海口市,8分,相关专业的继续教育对象,45,
2020,J51-20-22 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,医学论文写作系列培训,唐浏英,010-63530971,"2020-07-18-2020-07-19
		2.0天",山东济南市,4分,相关专业的继续教育对象,100,
2020,J51-20-23 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,《全国血吸虫病监测方案》（2020版）培训班,许静,021-54650863,"2020-04-01-2020-04-03
		2.5天",上海,5分,相关专业的继续教育对象,60,
2020,J52-20-11 (国),天津医科大学附属肿瘤医院（肿瘤学）,郝希山,022-23537796,营养治疗培训项目,王昆,022-23537796,"2020-10-23-2020-10-24
		2.0天",天津,4分,相关专业技术人员,170,
2021,J13-21-18 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,淮河流域早诊早治技术培训,陈万青,010-87787039,"2021-05-20-2021-05-21
		2.0天",河南郑州市,4分,淮河流域癌症早诊早治项目中4个省份的现场工作人员,150,
2021,J13-21-19 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,城市高危人群癌症筛查和早诊早治技术全国培训班,陈万青,010-87787039,"2021-06-07-2021-06-08
		2.0天",广东深圳市,4分,城市癌症早诊早治项目中26个省份的现场工作人员,300,
2021,J13-21-40 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,全国肿瘤预防与控制实践培训班,乔友林,010-87788489,"2021-05-07-2021-05-08
		2.0天/期
		
		
查看多期举办时间地点",四川成都市,4分/期,相关专业的继续教育对象,100/期,
2021,J13-21-41 (国),中国医学科学院肿瘤医院,高树庚,010-87788177，13801185056,中国子宫颈癌防治研究进展学术研讨会,赵方辉,010-87788977,"2021-04-24-2021-04-25
		2.0天",北京,4分,相关专业的继续教育对象,200,
2021,J35-21-27 (国),重庆医科大学附属儿童医院,李秋,023-63603929,临床研究设计与统计分析方法深度学习班,梁小华,17815183289,"2021-04-23-2021-04-24
		2.0天",重庆,4分,相关专业的继续教育对象,180,
2021,J51-21-01 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,新发与再发病毒的抗体与T细胞免疫检测/监测技术培训班,刘军,010-63516568,"2021-09-13-2021-09-15
		3.0天",北京,6分,相关专业的继续教育对象,80,
2021,J51-21-02 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,戒毒药物维持治疗门诊专业技能培训,罗巍,010-58900950,"2021-06-07-2021-06-16
		10.0天/期
		
		
查看多期举办时间地点",云南昆明市,10分/期,相关专业的继续教育对象,30/期,
2021,J51-21-03 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,戒毒药物维持治疗门诊综合干预及管理技能培训,罗巍,010-58900950,"2021-07-19-2021-07-21
		3.0天/期
		
		
查看多期举办时间地点",陕西西安市,6分/期,相关专业的继续教育对象,30/期,
2021,J51-21-04 (国),中国疾病预防控制中心（传染病预防控制）,高福,010-58900359,布鲁氏菌病现场快速检测新技术培训班,姜海,010-58900767,"2021-07-16-2021-07-18
		3.0天/期
		
		
查看多期举办时间地点",内蒙古赤峰市,6分/期,相关专业的继续教育对象,100/期,
